paymentType,year,month,mean_costAmount,median_costAmount,mean_priceAmount,median_priceAmount,mean_passengerCount,median_passengerCount
Dispute,2018,6,11.62,8.0,13.14,9.3,1.29,1.0
No Charge,2018,6,11.62,7.5,13.02,8.8,1.26,1.0
Cash,2018,7,12.19,8.5,13.55,9.8,1.65,1.0
Credit card,2018,7,13.55,9.5,17.78,12.91,1.59,1.0
Dispute,2018,7,19.23,7.5,20.49,8.8,1.32,1.0
No Charge,2018,7,44.68,7.0,46.04,8.3,1.28,1.0
Cash,2018,8,12.31,9.0,13.7,9.8,1.65,1.0
Credit card,2018,8,13.48,9.5,17.72,12.88,1.58,1.0
Dispute,2018,8,10.57,7.5,11.68,8.8,1.33,1.0
No Charge,2018,8,46.32,7.0,47.74,8.3,1.27,1.0
Unknown,2018,8,34.5,34.5,35.8,35.8,1.0,1.0
Cash,2018,9,12.42,9.0,13.79,9.8,1.62,1.0
Credit card,2018,9,13.87,10.0,18.14,12.96,1.58,1.0
Dispute,2018,9,10.39,7.5,11.51,8.8,1.31,1.0
No Charge,2018,9,12.2,7.0,13.59,8.3,1.25,1.0
Cash,2018,10,12.59,9.0,13.97,10.3,1.61,1.0
Credit card,2018,10,13.93,10.0,18.26,13.3,1.56,1.0
Dispute,2018,10,10.42,7.5,11.64,8.8,1.29,1.0
No Charge,2018,10,11.47,7.0,12.84,8.3,1.23,1.0
Unknown,2018,10,37.83,37.83,56.44,56.44,1.0,1.0
Cash,2018,11,12.31,9.0,13.65,9.8,1.61,1.0
Credit card,2018,11,13.84,10.0,18.12,12.96,1.57,1.0
Dispute,2018,11,9.72,7.0,10.75,8.3,1.27,1.0
No Charge,2018,11,11.58,7.0,12.94,7.8,1.24,1.0
Cash,2018,12,12.35,9.0,13.69,9.8,1.64,1.0
Credit card,2018,12,13.65,10.0,17.9,12.96,1.58,1.0
Dispute,2018,12,9.05,7.0,10.17,8.3,1.32,1.0
No Charge,2018,12,10.84,6.5,12.16,7.8,1.27,1.0
